               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.014347,           0.0056349,          0.00061913,             0.99927,                   1,               0.995,             0.90506,           0.0076902,           0.0030307,          0.00027558,            0.005149,            0.005149,            0.005149
                  51,            0.013772,           0.0053666,          0.00041115,             0.99922,                   1,               0.995,             0.92588,           0.0073592,           0.0030734,          0.00034243,             0.00505,             0.00505,             0.00505
                  52,             0.01353,           0.0056213,          0.00056758,              0.9992,                   1,               0.995,             0.92387,           0.0078147,           0.0029337,          0.00036637,            0.004951,            0.004951,            0.004951
                  53,            0.013873,           0.0054795,          0.00056412,             0.99929,                   1,               0.995,             0.92663,           0.0072337,           0.0029806,          0.00032735,            0.004852,            0.004852,            0.004852
                  54,            0.013992,           0.0052308,          0.00044421,             0.99919,                   1,               0.995,             0.94073,           0.0072792,           0.0028182,          0.00028231,            0.004753,            0.004753,            0.004753
                  55,            0.013039,           0.0051768,          0.00060711,             0.99904,                   1,               0.995,             0.93555,           0.0070848,           0.0027016,          0.00031249,            0.004654,            0.004654,            0.004654
                  56,            0.013047,           0.0053507,          0.00042548,             0.99924,                   1,               0.995,             0.91964,           0.0079212,           0.0029086,          0.00025769,            0.004555,            0.004555,            0.004555
                  57,             0.01325,           0.0052429,          0.00079528,             0.99926,                   1,               0.995,             0.93927,           0.0067438,           0.0028625,          0.00032452,            0.004456,            0.004456,            0.004456
                  58,            0.012159,           0.0051985,          0.00093947,             0.99929,                   1,               0.995,             0.92967,           0.0069644,           0.0029793,          0.00031479,            0.004357,            0.004357,            0.004357
                  59,             0.01256,           0.0051917,          0.00068541,             0.99916,                   1,               0.995,             0.94773,           0.0074505,           0.0027476,          0.00024015,            0.004258,            0.004258,            0.004258
                  60,            0.012437,           0.0050274,          0.00064971,             0.99928,                   1,               0.995,             0.94006,           0.0066071,           0.0026846,          0.00032579,            0.004159,            0.004159,            0.004159
                  61,            0.012359,           0.0051269,          0.00063566,             0.99921,                   1,               0.995,             0.94859,           0.0067025,           0.0026892,          0.00030008,             0.00406,             0.00406,             0.00406
                  62,            0.012161,           0.0050304,          0.00050525,             0.99939,                   1,               0.995,             0.95602,           0.0066097,           0.0026433,          0.00024573,            0.003961,            0.003961,            0.003961
                  63,             0.01182,           0.0053251,          0.00054839,             0.99913,                   1,               0.995,             0.94863,           0.0066169,           0.0026525,          0.00028904,            0.003862,            0.003862,            0.003862
                  64,            0.011513,           0.0048213,          0.00051824,             0.99866,                   1,               0.995,             0.95609,           0.0063967,           0.0026132,          0.00024665,            0.003763,            0.003763,            0.003763
                  65,            0.011969,           0.0049637,          0.00054264,             0.99887,                   1,               0.995,             0.95329,           0.0063903,           0.0027334,          0.00022147,            0.003664,            0.003664,            0.003664
                  66,            0.011313,            0.004786,          0.00052397,             0.99926,                   1,               0.995,             0.94666,           0.0064294,           0.0026689,          0.00026804,            0.003565,            0.003565,            0.003565
                  67,             0.01149,           0.0050303,          0.00057438,             0.99925,                   1,               0.995,             0.95038,           0.0063651,           0.0026895,          0.00023337,            0.003466,            0.003466,            0.003466
                  68,            0.011371,           0.0051099,          0.00067248,             0.99869,                   1,               0.995,             0.95869,           0.0060778,           0.0025893,          0.00027916,            0.003367,            0.003367,            0.003367
                  69,            0.011201,           0.0048696,          0.00058009,             0.99885,                   1,               0.995,             0.95423,           0.0060495,           0.0025764,          0.00026191,            0.003268,            0.003268,            0.003268
                  70,            0.011262,            0.004856,          0.00036777,             0.99927,                   1,               0.995,             0.95874,           0.0060768,            0.002544,          0.00023764,            0.003169,            0.003169,            0.003169
                  71,             0.01094,           0.0046873,          0.00055118,             0.99914,                   1,               0.995,             0.96037,           0.0060347,           0.0025006,          0.00019611,             0.00307,             0.00307,             0.00307
